asset_id,asset_name,category,repository,file_or_directory_path,route,intended_public_url,current_state,publication_evidence,canonical_status,indexability_status,authorship_status,version_or_date_status,payload_journey_lab_naming_consistency,hora_city_relationship,udemy_cta_status,internal_links,external_links,evidence_source,risk_or_inconsistency,recommended_next_action,priority,confidence_level,external_verification_required
"PJL-METHOD-005","Track to Origin","Method","PayloadJourneyLAB","content/methods.ts; content/hora-city.ts","/method; /learn; /cases","https://www.payloadjourneylab.com/method","Provisional","Definition rendered and case mission recorded; source labels it in development.","Defined practice in development","Discoverable within indexed routes","Institutional authorship only","No version/date","Consistent","Recorded mission for RPJ-HORA-001","Learning progression topic","/method; /learn; /cases","Udemy","content/methods.ts:162-187; content/hora-city.ts:19-21","Origin and authority are still unknown in the only documented case.","Retain in-development qualifier and publish evidence when origin is located.","High","High","No"
"PJL-METHOD-006","Software System Investigation and Trace Engineering taxonomy","Conceptual framework","PayloadJourneyLAB","content/methods.ts; content/lab-definitions.ts","/investigation; /method; /lab-definitions","https://www.payloadjourneylab.com/investigation","Published but needs revision","Rendered across current canonical routes.","Competing canonical definitions exist","Discoverable on indexed pages","Proposed/developing practice attributed to LAB","No definition version/date","Name consistent; category inconsistent","Framework for the founding case","Learning pathway context","/method; /investigation; /lab-definitions","Udemy","content/methods.ts:16-20,45; content/lab-definitions.ts:261-275","Trace Engineering is both a set of capabilities and a practice.","Human decision and dated canonical glossary update.","High","High","No for conflict; yes for external validation"
"PJL-METHOD-007","Congelar, Mapear, Detectar e Restaurar protocol","Protocol","PayloadJourneyLAB","content/methods.ts; app/protocol/page.tsx","/protocol","https://www.payloadjourneylab.com/protocol","Published and stable","Four phases rendered and verified.","Canonical protocol","Canonical route in sitemap","Institutional authorship only","No protocol version/date","Consistent","Expected lifecycle; case currently at Mapear","Indirect","/method; /investigation; /cases","None","content/methods.ts; verify:method-practice","Protocol artefact names exist without files for the founding case.","Create the minimum sanitized case artefact set.","High","High","No"
"PJL-METHOD-008","Trace Engineer profile","Developing role","PayloadJourneyLAB","content/methods.ts; content/lab-definitions.ts; README.md","/investigation; /lab-definitions; /lab","https://www.payloadjourneylab.com/investigation","Provisional","Current pages and verifier qualify it as a function/profile in development.","Developing role, not established profession","Discoverable on indexed routes","Developed in LAB context","No definition version/date","Current source guarded; historical sources vary","Role expected to perform the investigation","Course limits deny professional certification","/investigation; /lab; /learn","Udemy","content/lab-definitions.ts:277-300; content/methods.ts:833; README.md:60-63","README and historical LAB Definitions use professional language.","Label historical professional wording as superseded.","High","High","No"
"PJL-METHOD-009","LAB Definitions dataset","Glossary","PayloadJourneyLAB","content/lab-definitions.ts","/lab-definitions","https://www.payloadjourneylab.com/lab-definitions","Connected to route but not externally verified","Verifier confirms 21 full definitions and six homepage definitions.","Declared official definitions; conflicts remain with methods taxonomy","Route in sitemap","Institutional authorship only","No glossary version/date","Current terminology mostly canonical","Contains qualified conceptual Send Heart examples","Indirect","/; /lab; /method","None","content/lab-definitions.ts; verify:lab-definitions","Official label may overstate finality while definitions are still developing.","Add status/version to every definition and resolve Trace Engineering taxonomy.","High","High","Yes — live route"
"PJL-CASE-001","HORA.city — Founding Reference Case 001","Case file","PayloadJourneyLAB","content/hora-city.ts; content/cases.ts; README.md","/cases","https://www.payloadjourneylab.com/cases#case-hora-city","Published but needs revision","Case ID, anomaly, payload, methods and open status are published; no technical artefact is published.","Only documented case; designated Founding Reference Case 001 by this baseline","Contained in /cases","Internal case led by method creator","Opened and updated dates not confirmed","Consistent","The asset itself","Indirect case-to-course pathway","/payload-journey; /method; /protocol","None case-specific","content/hora-city.ts:11-24; content/cases.ts:57-130; public /cases retrieval","No HORA.city codebase, runtime traces, payload snapshots, checkpoints, database/projection evidence or restoration proof is accessible.","Create a sanitized evidence repository and full investigation record before propagation as a demonstrated case.","Critical","High","Yes — underlying system and evidence"
"PJL-CASE-002","EVD-HORA-DOC-001 editorial case record","Documentary evidence record","PayloadJourneyLAB","content/cases.ts","/cases","https://www.payloadjourneylab.com/cases","Published but needs revision","Record is in source and summarized on the case page.","Internal editorial source, not independent evidence","Summary discoverable in /cases","Produced by investigator","Observed date unconfirmed","Consistent","Supports identity and documented anomaly only","None","/cases","None","content/cases.ts:9-32","Self-authored record has no downloadable source or technical observation.","Assign date/version and link a sanitized source artefact.","Critical","High","Yes"
"PJL-CASE-003","EVD-HORA-DOC-002 repository presentation record","Documentary evidence record","PayloadJourneyLAB","content/cases.ts; README.md","/cases","https://www.payloadjourneylab.com/cases","Published but needs revision","Record references the repository presentation; public location of source is not confirmed.","Corroborating internal document, not independent verification","Summary discoverable in /cases","Internal","Observed date unconfirmed","Consistent","Repeats case ID, anomaly, payload and mission","None","/cases","None","content/cases.ts:34-54; README.md:72-89","Repeats the same internal claim and is not independent evidence.","Do not count as independent validation; add technical evidence.","Critical","High","Yes"
"PJL-LABLOG-001","LabLog editorial model","Editorial channel","PayloadJourneyLAB","content/cases.ts; components/sections/LabLogPageSections.tsx","/lablog","https://www.payloadjourneylab.com/lablog","Draft","Model and live empty page exist; branch deliberately returns 404; zero entries.","Editorial contract exists; publication state unresolved","Excluded by branch feature flag","Provenance model defined but no authored entries","Zero dated entries","Consistent","No entry connected to Case File 001","None in content body","/cases; /lab; /protocol","YouTube described as companion channel","content/cases.ts:132,183-235; app/lablog/page.tsx:14-16; verify:cases-evidence","Public live empty route and hidden branch state conflict; no publication corpus.","Make a human publication decision and create the first sourced entry before re-enabling.","Critical","High","Yes"
"PJL-COURSE-001","Payload Journey LAB Udemy course","Course","PayloadJourneyLAB","content/site.ts","/learn; global CTAs","https://www.udemy.com/course/payload-journey-lab-siga-o-flow-entenda-o-sistema/?couponCode=FOLLOW-THE-FLOW","Published but needs revision","Udemy page retrieved on 2026-07-27 and repository contains repeated CTA.","Single centralized course URL","External platform; not measured","Instructor/owner not verified from repository baseline","Beta; coupon expiration null","Course title consistent with LAB","Case is used as learning pathway context, not verified course content","Active in header, learn page, footer and other global CTAs","/learn","Udemy","content/site.ts:17-19,49-51,103-142; public Udemy retrieval 2026-07-27","Coupon lifetime, enrollments, reviews, sales, syllabus and instructor state require external access.","Verify course dashboard, coupon validity, public metadata and approved canonical URL.","High","High","Yes"
"PJL-CHANNEL-001","Official YouTube channel","External channel","PayloadJourneyLAB","config/site.ts; content/site.ts","Global footer; LabLog context","https://www.youtube.com/@PayloadJourneyLAB","Connected to route but not externally verified","URL is centralized and linked; public tool could not retrieve channel content.","Current source marks @PayloadJourneyLAB canonical","External platform; not measured","Account ownership not verified","No channel verification date","Canonical handle matches LAB","Intended LabLog companion; no case video inventory","Separate channel","Footer and LabLog content","YouTube","config/site.ts:13-15; content/site.ts:52-54,284-312","Historical docs record competing @Lab-Log handle; ownership and metrics unverified.","Verify account ownership and inventory channel videos/descriptions.","High","Medium","Yes"
"PJL-CHANNEL-002","LinkedIn personal and institutional channels","External channel","PayloadJourneyLAB","content/site.ts","Not rendered","Unknown","Planned","Both publicHref values are null.","No canonical URL","Not applicable","Not configured","No date","Not assessable","None observed","None","None","None","content/site.ts:55-59,314-326","Propagation plan references LinkedIn but repository provides no destination.","Valéria must approve and provide canonical personal/institutional URLs and newsletter state.","High","High","Yes"
"PJL-CHANNEL-003","Contact, email, GitHub and collaboration channels","External channel","PayloadJourneyLAB","content/site.ts; content/payload-journey-lab.ts; components/sections/ContactSection.tsx","Not rendered","Unknown","Planned","Contact and email are null; GitHub CTA is future; ContactSection is unused.","No canonical public contact destination","Not applicable","Not configured","No date","Consistent placeholders","No public evidence/contact channel","Separate","None","GitHub remote exists but no site CTA; contact absent","content/site.ts:57-60; content/payload-journey-lab.ts:1319-1338; components/sections/ContactSection.tsx","No conversion path for institutional collaboration or evidence requests.","Human approval of public contact, GitHub organization and collaboration workflow.","High","High","Yes"
"PJL-DOC-001","Repository README","Documentation","PayloadJourneyLAB","README.md","GitHub repository landing document","https://github.com/valleria-web/PayloadJourneyLAB","Published but needs revision","Tracked repository root document.","Repository-level introduction, not site canonical content","GitHub visibility not externally verified","Payload Journey LAB; founder named","No README version/date","Consistent","Documents RPJ-HORA-001 at narrative level","No Udemy CTA","No repository-relative ecosystem navigation","Public site","README.md:1-225","Calls Trace Engineer a professional role and development-status section is partly outdated.","Update only in a future production/documentation change after terminology approval.","High","High","Yes — GitHub public visibility"
"PJL-DOC-002","AI-readiness audit collection","Documentation collection","PayloadJourneyLAB","docs/ai-readiness/","Not connected to a site route","None identified","Present but not connected to a route","Four tracked Markdown reports.","Technical audit record","Repository-only","Internal","Sprint 11 context; no consolidated document version","Documents current and historical conflicts","Provenance matrix includes case claims","Course schema intentionally omitted","References site routes","Canonical site URLs","docs/ai-readiness/01-04","Earlier findings may be superseded but are not uniformly labeled.","Add superseded/current status headers to historical audits.","Medium","High","No"
"PJL-DOC-003","Homepage refactor audit and screenshot collection","Documentation collection","PayloadJourneyLAB","docs/homepage-refactor/","Not connected to a site route","None identified","Present but not connected to a route","30 Markdown reports plus baseline and sprint screenshots.","Historical implementation evidence","Repository-only","Internal","Sprint-specific, mixed currentness","Mixed historical states","Extensive case presentation history, not technical case evidence","Documents course CTA evolution","References routes and anchors","Udemy and historical YouTube handles","docs/homepage-refactor/","Historical screenshots and reports can be mistaken for current publication state.","Create a collection index marking current and superseded reports.","Medium","High","No"
"PJL-DOC-004","V3 sprint specifications, decisions and closure records","Documentation collection","PayloadJourneyLAB","docs/sprints para v3/","Not connected to a site route","None identified","Present but not connected to a route","Tracked sprint 0-8 specifications, reports, decisions, validation JSON and screenshots.","Strongest internal decision and implementation history","Repository-only","Internal; AI assistance discussed","Sprint-scoped; closure document present","Contains approved terminology guardrails","Defines case evidence and provenance limits","Documents learning/course decisions","References all routes","Public site and course references","docs/sprints para v3/README.md; Sprint 0-8 documents","Large volume and duplication reduce discoverability of canonical decisions.","Publish a concise current-decision index.","Medium","High","No"
"PJL-DOC-005","V2 and early sprint documentation","Documentation collection","PayloadJourneyLAB","docs/sprints para v2/; docs/sprints/","Not connected to a site route","None identified","Deprecated","Tracked historical sprint documents.","Historical; superseded by current source and V3 decisions","Repository-only","Internal","Sprint-labelled but not uniformly marked superseded","Contains superseded terminology and route assumptions","Historical case presentation, not case evidence","Historical CTA decisions","References obsolete anchors/routes","Historical channel references","docs/sprints para v2/; docs/sprints/","Search can surface outdated definitions as if current.","Add prominent superseded labels and link to current canonical records.","High","High","No"
"PJL-DOC-006","Historical LAB Definitions document","Documentation","PayloadJourneyLAB","docs/files/LAB Definitions.md","Not connected to a site route","None identified","Deprecated","Tracked Markdown document.","Superseded by content/lab-definitions.ts","Repository-only","Internal","No superseded banner or version","Uses non-canonical Tracing Engineering","Contains conceptual HORA.city examples","None","None","None","docs/files/LAB Definitions.md:131-566","Non-canonical term occurs repeatedly and Trace Engineer is called a professional.","Add a superseded notice pointing to /lab-definitions and current source.","High","High","No"
"PJL-DOC-007","LabLog, YouTube and protocol documentation plan","Documentation","PayloadJourneyLAB","docs/files/plano-implementacao-lablog-youtube-documentacao.md; docs/files/files-structure.md","Not connected to a site route","None identified","Draft","Two tracked planning documents.","Planning source, not proof of implementation","Repository-only","Internal","No completion status header","Current LAB name; historical channel conflict documented","Proposes future Case File and evidence structures","Mentions formation","Proposed routes and directories","Two historical YouTube handles","docs/files/plano-implementacao-lablog-youtube-documentacao.md; docs/files/files-structure.md","Planned evidence repository can be mistaken for existing artefacts.","Mark implementation status item by item.","High","High","No"
"PJL-DOC-008","White paper placeholders","Planned publication","PayloadJourneyLAB","content/payload-journey-lab.ts; components/sections/WhitePapersSection.tsx","No public route","No verified URL","Planned","Three data placeholders and a future CTA; component delegates to LabLog.","No canonical paper published","Not indexable as papers","Not established per paper","No dates or versions","Consistent titles in source","Potential future case/method publication only","None","Future /white-papers path only","None","content/payload-journey-lab.ts:1284-1317,1347; components/sections/WhitePapersSection.tsx","Component name implies papers but renders LabLog; no publication exists.","Keep unpublicized until real paper files, authorship, dates and routes exist.","Medium","High","No"
